manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
Renault,2022,רנו קליאו,1,אוטומטית,1000,בנזין,פרטית,פרטית,,בית ג'ן,90000,3,27/02/2024,27/02/2024,"*למכירה !!!*📣📣📣
 רכב במצב מעולה-הזדמנות לקנייה מושלמת 🤩

 *דגם:* רנו קליאו איטנס
 *שנת יצור:* 2022 יד ראשונה (עליה לכביש באפריל)
 *מנוע:* טורבו אוטו' (999)91 כ""ס
 *צבע:* תכלת מיוחד!

 *פרטים נוספים:* רכב שמור ונקי כמו חדש, אחריות מורחבת עד 2027, נהגת יחידה, מראות מתכפלות, טסט עד 2025/ 30,000 ק""מ.

 *סיבת המכירה :* רכב שני בבית

לפרטים נוספים נא ליצור קשר : 0544558964",תכלת,20500,אפר-25,
Renault,2020,רנו מגאן אסטייט/ גראנד טור,2,אוטומטית,1500,דיזל,ליסינג,פרטית,חיפה וחוף הכרמל,נשר,64000,10,17/01/2024,17/01/2024,"יד שניה פרטית !!!
ידראשונה היה ליסינג פרטי !!!
מטופל רק בחברה !!!
מתחייב בבדיקה !!!
מחירון בסיס 90.000",לבן,154000,,
Renault,2018,רנו מגאן קופה / ספורט,2,אוטומטית,1600,דיזל,ליסינג,פרטית,אשדוד - אשקלון,אשקלון,65000,3,04/12/2023,04/12/2023,"רנו גראנד קופה
שמורה",אפור מטאלי,160000,,
Renault,2018,רנו מגאן,2,אוטומטית,1500,דיזל,ליסינג,פרטית,אשדוד - אשקלון,אשקלון,65000,3,15/08/2023,04/12/2023,"גראנד קופה
יד 01 היה ליסינג עכשיו פרטי.
156,000 ק""מ
דיזל
שמור ומטופל.",אפור,156000,,
Renault,2019,רנו מגאן,3,אוטומטית,1500,דיזל,פרטית,פרטית,גליל ועמקים,נצרת,78000,4,19/11/2023,19/11/2023,"רכב שמור מאוד מטופל בזמן מנוע דיזל הדגם המוצלח ביותר עם גג נפתח, מצב כמו חדש יד 03 (עבר ידיים תוך המשפחה) מחיר גמיש",לבן,60000,אוג-24,
Renault,2016,רנו פלואנס,1,אוטומטית,1500,דיזל,פרטית,פרטית,גליל ועמקים,מעלות תרשיחא,35000,1,07/11/2023,14/11/2023,"רנו פלואנס 9/2016
דגם פריוול׳ג 1.5 טורבו דיזל. 
יד 00 , 240 אלף ק""מ. 

תוספות מהחברה : 
מראות מתקפלות 
כניסה והנעה בלי מפתח 
סאנרוף
ספויילר 

טסט נעשה בחודש 9 
טיפול 10,000 נעשה באותו היום עם הטסט 
בנוסף הוחלף פילטר סולר 
לפני חצי שנה הוחלפו בולמי זעזועים אחוריים וברקסים

לפני שנה הוחלפה המערכת למסך 9 אינץ 
עם סאב ומגבר (בתוספת תשלום ) 
לפני חודש נעשה 
ppf לפנסים הקדמיים 
והשחרת סמלים 
ברכב מותקת מצלמה 24/7. 
מתחייב בבדיקה.",שחור,240000,ספט-24,
Renault,2017,רנו זואי,2,אוטומטית,800,חשמלי,השכרה,פרטית,בית שמש והסביבה,בית שמש,55000,4,25/08/2023,25/08/2023,,אפור,32000,,
Renault,2016,רנו קליאו אסטייט,2,אוטומטית,1200,בנזין,פרטית,פרטית,עכו - נהריה,עכו,35000,5,17/08/2023,17/08/2023,"למכירה בעכו!
רנו קליאו סטיישן.
שנה 2016/12
מנועה 1.2 טורבו,בנזין
95000 ק""מ 
יד 2 פרטית
מחיר 35000(גמיש) (מחירון 40000)
שמורה,ללא תאונות,כל הטיפולים בזמן.
טלפון:0526835779",שחור,95000,,
Renault,2018,רנו מגאן קופה / ספורט,2,אוטומטית,1500,דיזל,פרטית,פרטית,נתניה והסביבה,נתניה,50000,7,09/07/2023,09/07/2023,"🔥🔥רנו מגאן-גרנד קופה דיזל🔥🔥

🔥🔥רנו מגאן-גרנד קופה דיזל🔥🔥

⚫️מודל-2018
⚫️קילומטר-173,500 km
⚫️ ‏יד 02 ב ‏רישיון
⚫️דגם-zen 
⚫️מנוע-1500 טורבו דיזל,המפיק 110 כח סוס🐎
⚫️טסט עוד 03/01/2024
⚫️התחייבות מלאה בבדיקה
‏מחיר סופי 55,000 ￼
רכב במצב מצויין,שמור ומטופל היטב,ללא תאונות,חסכוני ואמין,קילומטר נמוך,דגם מפואר-מסך מולטמדיה ענקי,גנטים,פנסי לד,שליטה מלאה מההגה,ריפודי עור אלקנטרה,הנעה ללא מפתח ועוד מגוון תוספות🤩",לבן,173500,,
Renault,2018,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,31990,5,07/07/2023,07/07/2023,רנו קליאו סטיישן דיזל 1.5 2018,לבן,175000,,
Renault,2018,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,31990,5,07/07/2023,07/07/2023,רנו קליאו סטיישן דיזל 1.5 2018,לבן,175000,,
Renault,2017,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,25000,5,26/05/2023,07/07/2023,"רנו קליאו סטיישן דיזל אוט' 1.5 החל מ-399 ₪ *.
*רכישה באמצעות המחאות (צ'קים). 
*טרייד אין (המרה) אטרקטיבי . *ליסינג גמיש.
*עד 100% מימון עד- 60 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ- 14.990 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח",שחור,215000,,
Renault,2017,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,25000,5,07/07/2023,07/07/2023,רנו קליאו סטיישן דיזל 1.5 2017,שחור,215000,,
Renault,2017,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,27000,4,09/06/2023,07/07/2023,"רנו קליאו סטיישן דיזל 1.5
 החל מ-499 ₪ * 
*רכישה באמצעות המחאות (צ'קים). 
*טרייד אין (המרה) אטרקטיבי . *ליסינג גמיש.
*עד 100% מימון עד- 60 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ- 14.990 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח",שחור,174000,,
Renault,2017,רנו קליאו אסטייט,1,אוטומטית,1500,דיזל,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,25000,5,07/07/2023,07/07/2023,רנו קליאו דיזל סטיישן 1.5 2017,שחור,215000,,
Renault,2022,רנו קליאו,1,ידנית,1000,בנזין,פרטית,פרטית,אשדוד - אשקלון,אשדוד,82000,4,23/05/2023,23/05/2023,"""הגברת בכתום""
רנו קליאו החדשה 
מנוע 1000 סמ""ק טורבו,
גיר ידני
יד ראשונה בבעלות פרטית
שנת ייצור 2022 
הרכב נקנה בינואר ועשה 27,000 ק""מ 
יש אחריות יצרן לעוד 3.5 שנים (על כל המכלולים לא רק מנוע וגיר)
עבר את כל הטיפולים במוסך מורשה",כתום,27000,,
Renault,2020,רנו קליאו,1,אוטומטית,1300,בנזין,אחר,פרטית,באר שבע והסביבה,קרית גת,80000,5,23/05/2023,23/05/2023,למכירה אוטו מושלם במצב מאוד טוב יד ראשונה נהגת יחידה.,כתום,24500,,
Renault,2021,רנו מגאן אסטייט/ גראנד טור,2,אוטומטית,1500,דיזל,פרטית,פרטית,באר שבע והסביבה,נתיבות,116000,1,02/03/2023,09/04/2023,מטופל אך ורק בחברה עדין באחריות יצרן מתחייב על הכל.,אפור עכבר,53000,,
Renault,2020,רנו קליאו,2,אוטומטית,1300,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,92000,5,29/03/2023,29/03/2023,"למכירה רכב כמו חדש, הדגם המפואר של רנו קליאו RS Line, ק״מ נמוך מאד (16,500). הרכב מטופל תחת האחריות במוסך רנו מורשה (שעדיין תקפה לרכב). ללא תאונות, ללא תקלות, ללא תיקוני צבע. אני נהג יחיד ברכב ומבצע בו שטיפות ידניות בעצמי.
הרכב כולל את כל התוספות כגון מצלמת 360 היקפית, וחיישנים 360, הנעה ללא מפתח ועוד",לבן פנינה,16500,,
Renault,2017,רנו קפצ'ור,2,אוטומטית,1200,בנזין,פרטית,פרטית,רמת השרון - הרצליה,הרצליה,69000,6,13/02/2023,13/02/2023,"רנו קאדג׳ר 1197 טורבו 2017 יד שניה פרטי
לבן שנהב (דגם zen) 
130 כ״ס
4 צמיגים חדשים ומצבר stop start חדש 
מצב מעולה",לבן שנהב,141000,,
Renault,2018,רנו מגאן קופה / ספורט,1,אוטומטית,1400,דיזל,פרטית,פרטית,באר שבע והסביבה,נתיבות,66000,5,11/12/2022,11/12/2022,"רכב מפנק משפחתי וחסכוני מערכת מולטימדיה מתקדמת, בנוסף הותקן מובילאי מערכת פתיחה ונעילה אוטומטית עבר בדיקה לפני מכירה",לבן שנהב,227000,,
Renault,2018,רנו מגאן קופה / ספורט,2,אוטומטית,1461,דיזל,,,כרמיאל והסביבה,כרמיאל,89000,1,28/10/2022,28/10/2022,"רכב במצב מעולה, לא נסע הרבה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חדש כשמור, מתחייבת בבדיקה",,88000,,
Renault,2021,רנו קפצ`ור,1,אוטומטית,1332,בנזין,,,כרמיאל והסביבה,כרמיאל,120000,1,21/10/2022,21/10/2022,"רנו קפצ'ור החדשה. עליה לכביש 10.21. 3.10 עבר טיפול ראשון במוסך מורשה רנו. טסט עד 10.23. עוד שנתיים באחריות. עשה 10600 ק""מ. יד ראשונה. פרטית. מנוע 1.3 טורבו בנזין. 140 כ""ס. לייט היבריד MHEV. ללא תאונות ללא שריטות וללא סימני דלתות של הרכבים. מחירון יצחק לוי 121400. מבקש 120000.
לאוניד 0542873796",,10600,,
Renault,2017,רנו קפצ`ור,2,אוטומטית,120,בנזין,,,מודיעין והסביבה,שוהם,50000,1,19/10/2022,19/10/2022,"למכירהה !!!

?? רנו קפצ'ור

?? דגם - Expression Pack (2 צבעים??)

?? מודל 2017

????? בעלים 02 פרטי

?? נסע רק120,00 ק""מ

?? נפח מנוע 1200 טורבו

?? 120 כ""ס

? מטופלת כמו שעון חלקים מקוריים, שמורה כחדשה.

?? רכב ברמת אבזור מאוד גבוהה, כניסה והנעה ללא מפתח, חימום בכיסאות, מערכת מולטימדיה אנדרואיד lenovo. מערכת בטיחות מובילאי??

(כולל אישור התקנה לביטוח??)

??התחייבות בבדיקה לתקינות מלאה של הרכב!!!??

(מנוע ,גיר, שלדה)

רוצים על האוטו -50,00 ש״ח

לרצינים בלבד !

 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כב ברמת אבזור מאוד גבוהה, כניסה והנעה ללא מפתח, חימום בכיסאות, מערכת מולטימדיה אנדרואיד lenovo. מערכת בטיחות מובילאי??",,118000,,
Renault,2016,רנו קפצ`ור,2,אוטומטית,1197,בנזין,,,גליל ועמקים,צפת,48000,1,14/10/2022,14/10/2022,"רכב שמור מאוד, מטופל בחברה בלבד, מוריד מעט בגלל שפשוף קטן בטמבון, גלגלי מגנזיום, מערכת מולטימדיה מקורית, לרציניים בלבד, הקודם זוכה! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מזגן, גלגלי מגנזיום, 4 חלונות חשמל.",,87900,,
Renault,2017,רנו מגאן קופה / ספורט,3,אוטומטית,1400,דיזל,,,גליל ועמקים,רמות נפתלי,76000,1,13/10/2022,13/10/2022,"גרנד קופה צבע לבן דיזל 1400 
רכב נקי ושמור מאוד מטופל היטב
טסט לשנה 10/23 מצבר חדש 
מוכר עקב שחרור מהצבא ונסיעה לחול .",,,,
Renault,2021,רנו מגאן קופה / ספורט,1,אוטומטית,1800,בנזין,,,חולון - בת ים,חולון,219500,1,13/10/2022,13/10/2022,"רנו מגאן ספורט R.S. TROPHY
שמור בקנאות. מנוע 1.8 טורבו 300 כ""ס עם אחריות יצרן.
יד ראשונה, טסט 08/2023, מטופל במוסך מורשה של רנו ספורט. כולל מצלמת דרך עם אפלקציה.
שימוש לנסיעות יומיומית ללא נסיעה על מסלול.
לרציניים בלבד",,15000,,
Renault,2017,,2,אוטומטית,1009,דיזל,,,,ירכא,,1,29/09/2022,29/09/2022,,,98,,
Renault,2017,רנו קליאו דור 4,1,אוטומטית,1200,בנזין,,,,בארי,55000,1,21/09/2022,21/09/2022,"דגם מפואר. 
שמור
נהג יחיד 
כולל טסט לשנה 
לרציניים בלבד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גנטים",,88000,,
Renault,2021,רנו מגאן החדשה,2,אוטומטית,1500,דיזל,,,"ראשל""צ והסביבה",ראשון לציון,125000,1,20/09/2022,20/09/2022,רכב במצב חדש כל הקודם זוכה,,26000,,
Renault,2018,רנו מגאן אסטייט / גראנד טור,2,אוטומטית,1461,דיזל,,,באר שבע והסביבה,נתיבות,74000,1,19/09/2022,19/09/2022,רכב שמור מפנק חסכוני מאוד מומלץ,,160000,,
Renault,2016,רנו קליאו,1,אוטומטית,1200,בנזין,פרטית,פרטית,רמת השרון - הרצליה,הרצליה,48300,6,08/09/2022,17/09/2022,"יד ראשונה, במצב מצויין, טיפולים רק במוסך מורשה. צמיגים חדשים וטסט לשנה. יש תוספת של מצלמת רוורס וגלאי רוורס למערכת המולטימדיה.",אדום מטאלי,75000,,
Renault,2017,רנו קפצ`ור,1,אוטומטית,1500,דיזל,,,נתניה והסביבה,נתניה,89000,1,06/09/2022,06/09/2022,קג'אר כחדשה ללא תאונות דיזל,,42000,,
Renault,2020,רנו 5,2,אוטומטית,1330,בנזין,,,באר שבע והסביבה,אופקים,85000,1,04/09/2022,04/09/2022,,,35500,,
Renault,2020,,1,אוטומטית,1500,דיזל,,,קריות,קרית אתא,,1,01/09/2022,01/09/2022,"למכירה רכב חדש לגמרי עם 16000 ק""מ
טסט לשנה רכב שמור ללא תאונות ללא שריטות.מוכר עקב רכב מהעבודה",,16000,,
Renault,2017,רנו 18,1,אוטומטית,1500,דיזל,,,נתניה והסביבה,נתניה,88000,1,29/08/2022,29/08/2022,"מאחר ולא צוין במפרט הנ""ל הרכב suv קאג'ר..נקי ללא תאונות כמו חדש",,,,
Renault,2017,רנו קפצ`ור,1,אוטומטית,1200,בנזין,,,תל אביב,תל אביב יפו,69000,1,29/08/2022,29/08/2022,"רכב במצב חדש
הדגם המפואר",,30000,,
Renault,2019,רנו קפצ`ור,1,רובוטית,1197,בנזין,,,תל אביב,תל אביב יפו,95000,1,28/08/2022,28/08/2022,"מציאה במצב חדש !!

- רכב Renault Capture משודרג בצבע שחור מטאלי עם גג לבן
- גג פנורמי גדול
- ג׳יפון כיפי, גדול, מרווח, חווית נסיעה מעולה.
- הרכב בקושי היה בשימוש, פחות מ- 32,000 קילומטראז׳
- רמת גימור Intense (הכי משודרגת), אוטומטי רובוטי
- מטופלת שמורה ומתוחזקת כמו שעון.

- בשימוש פרטי לאחר קנייה מליסינג 0 ק״מ
- נמכר עקב אי שימוש

אם לא עונה - ניתן להשאיר הודעת וואטסאפ ואחזור
נדב &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; - גג פנורמי גדול
- רכב Renault Capture משודרג בצבע שחור מטאלי עם גג לבן
- רמת גימור Intense (הכי משודרגת), אוטומטי רובוטי",,32000,,
Renault,2017,רנו מגאן החדשה,2,אוטומטית,1800,דיזל,,,,נתיב העשרה,67000,1,28/08/2022,28/08/2022,"למכירה רנו מגאן שנת 2017 135,000 קילומטר רכב שמור, *טסט לשנה* לאחר טיפול גדול ברקסים מצבר טורבו חדש נעשה לאוטו לפני שבוע לעוד פרטים בפרטי לרציניים בלבד",,135000,,
Renault,2016,,2,אוטומטית,1200,בנזין,,,,נוף הגליל,,1,25/08/2022,25/08/2022,רכב זריז חסכוני. נוח בנסיעה ללא תאונות .לאחר טיפול 75000כולל פלגים.4 צמיגים חדשים.מצבר חדש סטופ סטארט.טסט לשנה,,78000,,
Renault,2017,רנו קליאו דור 4,2,אוטומטית,1200,בנזין,,,גליל ועמקים,כפר ורדים,50000,1,23/08/2022,23/08/2022,"רנו קליאו 2017 
יד שנייה. 
נקנה יד ראשונה 0 קילומטר מחברת אלבר.
59,000 קילומטר, נהגת יחידה.
שמור מאוד ומטופל בזמן.
כל הקודם זוכה.
טסט לשנה.
גמישה מעט לרציניים במעמד המכירה.
מגיעה גם לאזור טבריה / כרמיאל.",,59000,,
Renault,2017,רנו מגאן אסטייט / גראנד טור,2,אוטומטית,1461,דיזל,,,אשדוד - אשקלון,אשדוד,25000,1,16/08/2022,16/08/2022,,,225530,,
Renault,2018,רנו מגאן החדשה,3,אוטומטית,1500,טורבו דיזל,,,גליל ועמקים,קרית שמונה,80000,1,15/08/2022,15/08/2022,"רנו מגאן גראנד קופה, דגם INTENSE המפואר ביותר, הנעה ללא מפתח, הרכב במצב מכני מצוין, חסכונית 1/17, מתחייב בבדיקה.",,92000,,
Renault,2017,רנו קליאו III,2,אוטומטית,1200,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,50000,12,14/08/2022,14/08/2022,"רנו קליאו 2017 1200 טורבו האצ׳בק קולקשיין הדגם המפואר ביותר. 
הרכב במצב מצוין, שמורה מאוד ללא תאונות. טופל 3 שנים בחברה, ולאחר מכן במוסך מורשה. יש ספר טיפולים מהרגע שעלתה לכביש עד היום. בעלות פרטית. 79,000 קילומטר. אוטומטית 120 כ״ס יד 02. טסט עד-2/23. מראות מתקפלות, חיישני רוורס, בקרת שיוט, מערכת אולטימדיה, כפתור התנעה, מצבר חדש ומערכת סטאר אנד סטופ. מתחייב בבדיקה. הרכב מאד אמין, חסכוני וחזק. הדגם המפואר והיפה ביותר. 
אוראל",לבן,79000,,
Renault,2019,,1,אוטומטית,1500,דיזל,,,חיפה וחוף הכרמל,חיפה,,1,12/08/2022,12/08/2022,רכב שמור,,80,,
Renault,2017,רנו 9,1,ידנית,1600,טורבו דיזל,,,,פקיעין (בוקייעה),50000,1,07/08/2022,07/08/2022,"רכב שמור מאוד ומטופל 
0525735260",,164000,,
Renault,2018,רנו קפצ`ור,1,אוטומטית,1500,דיזל,,,רמת גן - גבעתיים,בני ברק,99500,1,05/08/2022,05/08/2022,"יד 01 פרטית ,מצבר וצמיגים חדשים , מערכת מוביליי,מולטימדיה , וו גרירה ברשיון וטיפול הקרוב על חשבוני &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה + מולטימדיה",,49800,,
Renault,2020,רנו מגאן אסטייט / גראנד טור,1,אוטומטית,1461,טורבו דיזל,,,מודיעין והסביבה,מודיעין מכבים רעות,105000,1,02/08/2022,02/08/2022,"סטיישן , שמור",,79500,,
Renault,,שלום עליכם,,,,,,,עמק יזרעאל,עפולה,3200,6,07/06/2024,19/06/2024,פירוט הריהוט: ארון בגדים גדול,,,,
Renault,,שונית 9,,,,,,,חיפה וחוף הכרמל,חיפה,2890000,8,07/06/2024,19/06/2024,"ללא תיווך- דירת 5 חדרים שקטה, מרווחת ומוארת בשטח של 120+20 מ""ר ב 4 כיווני אוויר! . הדירה מציעה נוף פתוח לים וגם לפארק, מרפסת מרווחת בשטח של 20 מ""ר. בנוסף, שני חדרי רחצה , יחידת הורים עם חדר רחצה, שתי חניות מקבילות ומקורות , מחסן, ממ""ד. הבניין ממוקם בקירבה מיידית לשירותי קהילה, חינוך ומסחר וממוקמת 10 דקות הליכה לים. הדירה מציעה פוטנציאל שכירות גבוה. פינוי גמיש. פירוט הריהוט: ארונות מטבח, ארונות בשני חדרי הרחצה ובמחסן",,,,
Renault,,מסקין אהרון,,,,,,,באר שבע והסביבה,באר שבע,950000,5,09/06/2024,20/06/2024,". יש רישום מלא בטאבו.
למכירה דירה בת שני חדרים, 71 מ""ר, (לפי הארנונה).
.סלון וחדר שינה -שהוא גם ממ""ד.
שני מזגנים, מרפסת 13.5 מ""ר עם נוף יפה למדבר, בשכונה נעימה קרובה למרכזי ספורט. יש חניה כללית לבניין.
הדירה מתאימה מאד להשקעה. עם הרכישה ניתן להשכיר אותה. בכ-2500-3000ש''ח בחודש. ניתן להגיע לאוניברסיטה תוך 25 דקות
כניסה מיידית. לרציניים בלבד. לא למתווכים
פירוט הריהוט: ארון כניסה שתי דלתות, ארון נעליים-2 יח', ארון בגדים גדול בחדר שינה, כורסה, שידה לטלוויזיה,
מקרר, תנור גז משולב, מיקרוגל, שולחן אוכל במטבח, 4 כיסאות. מכונת כביסה בחדר שרות.",,,,
